Time step [Myr]	XUV Flux [W.m-2]	Mass loss rate (EL) [kg.s-1]
109.481	0.0035608896000000004	1099.3769346776269
109.541	0.0035612011	1099.4731061273544
109.594	0.003561486	1099.561065183622
109.649	0.0035618067	1099.6600770100351
109.699	0.0035620426	1099.732907973087
109.751	0.0035623316000000004	1099.8221328493998
109.798	0.0035625906000000002	1099.9020956278248
109.844	0.0035628195000000002	1099.9727654347034
109.888	0.0035630802000000002	1100.0532530653422
109.931	0.0035632944000000004	1100.1193844442562
109.973	0.00356352	1100.189035420367
110.013	0.0035637255	1100.2524807908935
110.052	0.003563958	1100.3242620495184
110.091	0.0035641603	1100.386719462937
110.124	0.0035643299999999997	1100.4391120633184
110.159	0.003564517	1100.4968458068147
110.19	0.0035646815	1100.5476329768956
110.223	0.0035648653999999997	1100.6044096369433
110.253	0.003565030200000001	1100.6552894280035
110.283	0.0035651805999999996	1100.701723412077
110.311	0.0035653230000000005	1100.7456875033813
110.339	0.0035654739999999995	1100.7923067294128
110.366	0.0035656341999999995	1100.8417663321297
110.392	0.003565756800000001	1100.8796174388287
110.418	0.0035659028	1100.9246929818792
110.443	0.0035660233	1100.9618957417256
110.467	0.0035661806999999998	1101.010490881973
110.49	0.0035663071	1101.0495151877374
110.511	0.0035663913	1101.0755108091405
110.532	0.0035665359	1101.1201541209564
110.554	0.0035666233	1101.1471376994673
110.573	0.0035667386	1101.1827350290134
110.593	0.0035668366000000005	1101.2129912154448
110.612	0.0035669427	1101.2457481683052
110.631	0.0035670557	1101.28063540368
110.651	0.003567156	1101.3116016842826
110.661	0.0035672084000000002	1101.3277794819253
110.677	0.0035672861000000003	1101.3517683154528
110.692	0.0035673788000000007	1101.3803881979243
110.705	0.0035674552	1101.4039756738764
110.717	0.0035675215	1101.4244449102068
110.73	0.0035675638999999996	1101.4375353418873
110.744	0.0035676565	1101.4661243506987
110.757	0.0035677346	1101.490236678865
110.768	0.0035677833	1101.5052721511015
