Time step [Myr]	XUV Flux [W.m-2]	Mass loss rate (EL) [kg.s-1]
100.0	0.0035598436	1099.0539961979632
100.011	0.0035596648999999996	1098.9988249682158
100.021	0.0035595103	1098.9510942904378
100.031	0.0035593523	1098.9023139082324
100.043	0.0035591601	1098.8429747344358
100.054	0.00355897	1098.7842839074913
100.065	0.0035588088	1098.7345155681778
100.076	0.0035586170000000005	1098.67529988902
100.09	0.0035584001000000002	1098.6083349212963
100.1	0.0035582343	1098.55714639364
100.112	0.0035580465	1098.499165660867
100.124	0.0035578475	1098.4377270782159
100.138	0.0035576329999999997	1098.3715030783233
100.153	0.0035573765	1098.2923121413885
100.17	0.0035571163000000005	1098.211978879048
100.188	0.0035568171	1098.119604889454
100.209	0.0035564967999999995	1098.0207165576792
100.22	0.0035563108000000003	1097.9632915507793
100.231	0.0035561303	1097.9075645951586
100.243	0.003555924500000001	1097.8440266036534
100.256	0.0035557046	1097.7761354261409
100.27	0.0035555111	1097.716394894769
100.284	0.0035552833000000008	1097.6460646981466
100.298	0.0035550478000000007	1097.573357229733
100.314	0.0035547938000000004	1097.4949381342888
100.33	0.0035545592000000006	1097.422508528812
100.347	0.0035542811000000003	1097.3366488813986
100.365	0.0035539822000000003	1097.2443675127834
100.384	0.0035536824	1097.1518082812315
100.403	0.0035533580000000004	1097.0516541294126
100.424	0.0035530269	1096.9494314423987
100.446	0.0035526871000000006	1096.8445227469977
100.469	0.0035523148000000003	1096.7295801122186
100.493	0.0035519142999999994	1096.6059311054257
100.518	0.0035515145999999997	1096.4825290879103
100.544	0.0035510959	1096.353261075066
100.572	0.0035506436	1096.2136195125884
100.601	0.0035501919	1096.0741631920685
100.632	0.0035496882999999997	1095.9186834422037
100.664	0.0035491793	1095.7615365147194
100.697	0.0035486418000000002	1095.5955905942424
100.733	0.0035480459999999996	1095.4116453302045
100.77	0.003547469	1095.2335043141763
100.809	0.0035468426	1095.0401117102938
100.844	0.0035462764	1094.8653050495047
100.876	0.0035457536000000002	1094.7038975569924
100.904	0.0035452928	1094.5616317334466
100.934	0.003544813	1094.4134999145724
100.965	0.0035443157999999995	1094.2599960789235
100.998	0.0035437919	1094.0982489761554
101.033	0.0035432232	1093.9226704738758
101.069	0.0035426583	1093.7482651706616
101.107	0.0035420469000000004	1093.5595036157229
101.142	0.0035414919	1093.3881548048116
101.173	0.0035409869999999998	1093.2322736973717
101.205	0.0035404756999999998	1093.074416675716
101.239	0.0035399171999999997	1092.901987286718
101.275	0.0035393430000000003	1092.7247107331593
101.312	0.0035387541	1092.5428957516356
101.352	0.00353812	1092.347125875962
101.393	0.0035374423	1092.1378950846927
101.437	0.0035367432	1091.922057330264
101.476	0.0035361048	1091.7249598872265
101.511	0.0035355707000000003	1091.5600636711767
101.543	0.0035350356	1091.3948587185305
101.576	0.0035344896	1091.2262885369853
101.611	0.0035339473999999997	1091.0588915545059
101.648	0.0035333509999999997	1090.8747610485104
101.686	0.0035327248000000004	1090.6814301919476
101.727	0.003532082	1090.482974307887
101.769	0.0035313916	1090.269822561845
101.814	0.0035306719	1090.0476248335337
101.861	0.003529924	1089.8167207332085
101.91	0.0035291426	1089.5754739569095
101.961	0.0035283259999999996	1089.3233596524226
102.008	0.0035275629999999996	1089.0877936294942
102.05	0.0035269119	1088.8867752316849
102.094	0.0035261871	1088.6630029467328
102.14	0.0035254502	1088.4354949489662
102.188	0.0035246804	1088.1978295171832
102.239	0.0035238599000000006	1087.9445111399716
102.292	0.0035230085	1087.6816528019356
102.348	0.0035227883000000003	1087.6136690034446
102.407	0.0035230943	1087.7081424018927
102.469	0.0035234326999999998	1087.812618866059
