Time step [Myr]	Bolometric XUV Flux [W.m-2]	Mass loss rate (EL) [kg.s-1]
109.888	970.1801088372799	299530104.53869027
109.931	970.18630158628	299532016.4669379
109.973	970.1930008410101	299534084.7720406
110.013	970.1987116062601	299535847.8942658
110.052	970.20526668606	299537871.68729126
110.091	970.21148646086	299539791.95939237
110.124	970.2160808025601	299541210.40081084
110.159	970.22179124046	299542973.421971
110.19	970.22621908411	299544340.4593482
110.223	970.2313911485899	299545937.26493126
110.253	970.2358653816402	299547318.62441397
110.283	970.23965831119	299548489.64057297
110.311	970.24345533594	299549661.9210701
110.339	970.2478843665899	299551029.32491755
110.366	970.2518247610901	299552245.8689034
110.392	970.25600101734	299553535.23204297
110.418	970.2597788553401	299554701.5888883
110.443	970.26303872169	299555708.02892935
110.467	970.2666951325401	299556836.89676964
110.49	970.27059757599	299558041.7238773
110.511	970.2738070799201	299559032.6151963
110.532	970.2767568563202	299559943.3191217
110.554	970.27962091227	299560827.5580072
110.573	970.28302665422	299561879.03518444
110.593	970.2865818704199	299562976.6605329
110.612	970.28936135327	299563834.7886073
110.631	970.29238252072	299564767.5335625
110.651	970.29564313257	299565774.2037667
110.661	970.29700339142	299566194.1654541
110.677	970.2994327073701	299566944.1841917
110.692	970.30140152032	299567552.0288005
110.705	970.30313503467	299568087.22812045
110.717	970.3050036219701	299568664.1294032
110.73	970.30692242612	299569256.53446525
110.744	970.30929391802	299569988.7008025
110.757	970.3111992057701	299570576.93285733
110.768	970.31259385927	299571007.5134318
