# Age[Myr]   Lxuv[erg.s-1]
1.000000000000000000e+00 8.708001487589451816e+30
1.008562166358395462e+00 8.655311192484399061e+30
1.017197643409537555e+00 8.602218799069678324e+30
1.025907058851777798e+00 8.547318184060642967e+30
1.034691045757918815e+00 8.490455598865176661e+30
1.043550242621240409e+00 8.433114574293904004e+30
1.052485293401905109e+00 8.375290280535627320e+30
1.061496847573776714e+00 8.319358434314656820e+30
1.070585560171615880e+00 8.267298487485918891e+30
1.079752091838698913e+00 8.214831667781824442e+30
1.088997108874847131e+00 8.161954262876200188e+30
1.098321283284845240e+00 8.110520725231455768e+30
1.107725292827294261e+00 8.064783233420816505e+30
1.117209821063883890e+00 8.018691517815052584e+30
1.126775557409066097e+00 7.972242707730467522e+30
1.136423197180176148e+00 7.925112285181634119e+30
1.146153441647970173e+00 7.875493167867392774e+30
1.155966998087607278e+00 7.825488292758342951e+30
1.165864579830048431e+00 7.775095583993924308e+30
1.175846906313911866e+00 7.724818988933561682e+30
1.185914703137776138e+00 7.679085625140589452e+30
1.196068702112908611e+00 7.633003399323806044e+30
1.206309641316467118e+00 7.586570341183532717e+30
1.216638265145154829e+00 7.539759181551309851e+30
1.227055324369317413e+00 7.492148105607034646e+30
1.237561576187522494e+00 7.444163988799879811e+30
1.248157784281595406e+00 7.395804886409536129e+30
1.258844718872140556e+00 7.347125278317223116e+30
1.269623156774511319e+00 7.303910914606537714e+30
1.280493881455283312e+00 7.260367198018761733e+30
1.291457683089210828e+00 7.216491661942613693e+30
1.302515358616648466e+00 7.172282267751502540e+30
1.313667711801486782e+00 7.128335168836700460e+30
1.324915553289583547e+00 7.084072512717156085e+30
1.336259700667674633e+00 6.967073080912399810e+30
1.347700978522810900e+00 6.842187333851749446e+30
1.359240218502292707e+00 6.769884637735205932e+30
1.370878259374130881e+00 6.702408126391249271e+30
1.382615947087999952e+00 6.634770514514417347e+30
1.394454134836734971e+00 6.566974993549559671e+30
1.406393683118359439e+00 6.493413281688921016e+30
1.418435459798615295e+00 6.418884577382198186e+30
1.430580340174055110e+00 6.344269386236572048e+30
1.442829207035675187e+00 6.269573248082189186e+30
1.455182950733066471e+00 6.171190607222373574e+30
1.467642469239143654e+00 6.067609041028822623e+30
1.480208668215412304e+00 5.964268434843235227e+30
1.492882461077811751e+00 5.861184731045316784e+30
1.505664769063090658e+00 5.755671320066669262e+30
