# Age[Myr]   Lxuv[erg.s-1]
1.000000000000000000e+00 4.418521407879064525e+30
1.008562166358395462e+00 4.393599275290109010e+30
1.017197643409537555e+00 4.368463736161666198e+30
1.025907058851777798e+00 4.344403560381009379e+30
1.034691045757918815e+00 4.320152686795257628e+30
1.043550242621240409e+00 4.295693233836416010e+30
1.052485293401905109e+00 4.271408409591816703e+30
1.061496847573776714e+00 4.247794942867009223e+30
1.070585560171615880e+00 4.223977974792499928e+30
1.079752091838698913e+00 4.199956419752363445e+30
1.088997108874847131e+00 4.176504877663023416e+30
1.098321283284845240e+00 4.153306497028467344e+30
1.107725292827294261e+00 4.129908329477557337e+30
1.117209821063883890e+00 4.106308589146862895e+30
1.126775557409066097e+00 4.083673198592240680e+30
1.136423197180176148e+00 4.060891486539546740e+30
1.146153441647970173e+00 4.037913168630303215e+30
1.155966998087607278e+00 4.015080232710306395e+30
1.165864579830048431e+00 3.992890588448787843e+30
1.175846906313911866e+00 3.970509242225472599e+30
1.185914703137776138e+00 3.947934344650003312e+30
1.196068702112908611e+00 3.925897568325653106e+30
1.206309641316467118e+00 3.904111434252800816e+30
1.216638265145154829e+00 3.882136222508086492e+30
1.227055324369317413e+00 3.859970802926297002e+30
1.237561576187522494e+00 3.838469834853631379e+30
1.248157784281595406e+00 3.816816620432714406e+30
1.258844718872140556e+00 3.794975106701258603e+30
1.269623156774511319e+00 3.773188386263704190e+30
1.280493881455283312e+00 3.751770773579726120e+30
1.291457683089210828e+00 3.730165546863043606e+30
1.302515358616648466e+00 3.708371016427895644e+30
1.313667711801486782e+00 3.687179930386946606e+30
1.324915553289583547e+00 3.666148999014065867e+30
1.336259700667674633e+00 3.644933867815158915e+30
1.347700978522810900e+00 3.623723824710601886e+30
1.359240218502292707e+00 3.603277742540897443e+30
1.370878259374130881e+00 3.582651577181763558e+30
1.382615947087999952e+00 3.561844139979879475e+30
1.394454134836734971e+00 3.541538075354935901e+30
1.406393683118359439e+00 3.521467888807548786e+30
1.418435459798615295e+00 3.501220525651656445e+30
1.430580340174055110e+00 3.480885094113346740e+30
1.442829207035675187e+00 3.461355284504160900e+30
1.455182950733066471e+00 3.441652322508588635e+30
1.467642469239143654e+00 3.421774786853471310e+30
1.480208668215412304e+00 3.402254970801644132e+30
1.492882461077811751e+00 3.383012577624650136e+30
1.505664769063090658e+00 3.363598718920251839e+30
1.518556521295780781e+00 3.344012285444028135e+30
1.531558654855741386e+00 3.325091826812685495e+30
1.544672114846256550e+00 3.306001500051967522e+30
1.557897854462741538e+00 3.286739367902646975e+30
1.571236835062038928e+00 3.267805122669618906e+30
1.584690026232278726e+00 3.249255107127893988e+30
1.598258405863369536e+00 3.230537708521779042e+30
1.611942960218072152e+00 3.211651541925922677e+30
1.625744684003703755e+00 3.193486288002911576e+30
1.639664580444420539e+00 3.175155526569778092e+30
1.653703661354150922e+00 3.156657714553731781e+30
1.667862947210152713e+00 3.138480051791855038e+30
1.682143467227169564e+00 3.120612594675413839e+30
1.696546259432256676e+00 3.102580591036356337e+30
1.711072370740225557e+00 3.084439170480069173e+30
1.725722857029757362e+00 3.067122561063316158e+30
1.740498783220131740e+00 3.049645414210489048e+30
1.755401223348643569e+00 3.032006162644462971e+30
1.770431260648685612e+00 3.014819863679781148e+30
1.785589987628463104e+00 2.997856524294164937e+30
1.800878506150419556e+00 2.980733241820297422e+30
1.816297927511338228e+00 2.963612499013455663e+30
1.831849372523099095e+00 2.947214765263616564e+30
1.847533971594160329e+00 2.930660697640315553e+30
1.863352864811736564e+00 2.913948707838187728e+30
1.879307202024647294e+00 2.897803367443341071e+30
1.895398142926912888e+00 2.881790928922860325e+30
1.911626857142043168e+00 2.865621691981840359e+30
1.927994524308069613e+00 2.849482363329523770e+30
1.944502334163270785e+00 2.833754807806077482e+30
1.961151486632660923e+00 2.817869134812318849e+30
1.977943191915224386e+00 2.801823869408340029e+30
1.994878670571857970e+00 2.786501645007317937e+30
2.011959153614109042e+00 2.771241437645719181e+30
2.029185882593645296e+00 2.755820002053171234e+30
2.046560109692519447e+00 2.740736376899588693e+30
2.064083097814162659e+00 2.726229255732444349e+30
2.081756120675195554e+00 2.711560228373469706e+30
2.099580462898024358e+00 2.696779816363434298e+30
2.117557420104193788e+00 2.683239788631369706e+30
2.135688299008576596e+00 2.669529547337618891e+30
2.153974417514366468e+00 2.655647597258768352e+30
2.172417104808852084e+00 2.642869154343857255e+30
2.191017701460049594e+00 2.630626483603492084e+30
2.209777559514134904e+00 2.618189131448753683e+30
2.228698042593744155e+00 2.606905653755002545e+30
2.247780525997061574e+00 2.599386919954051066e+30
2.267026396797805710e+00 2.591503989213648826e+30
2.286437053946062115e+00 2.583262525117830773e+30
2.306013908369947796e+00 2.564480251786452906e+30
2.325758383078180280e+00 2.543702124417590650e+30
2.345671913263528197e+00 2.522733325129013853e+30
2.365755946407106070e+00 2.501878902826725800e+30
2.386011942383607032e+00 2.481209355993070153e+30
2.406441373567409059e+00 2.460337317942313980e+30
2.427045724939618232e+00 2.439322408841921638e+30
2.447826494195983749e+00 2.420564136750692060e+30
2.468785191855773054e+00 2.401647673379640926e+30
2.489923341371585330e+00 2.382571247282533614e+30
2.511242479240060277e+00 2.363594099141518752e+30
2.532744155113582973e+00 2.344650724174754033e+30
2.554429931912913787e+00 2.325542017469387369e+30
2.576301385940816591e+00 2.306911140832795670e+30
2.598360106996607133e+00 2.291601558533146397e+30
2.620607698491724591e+00 2.276174338424485984e+30
2.643045777566302768e+00 2.260628740052486603e+30
2.665675975206679649e+00 2.244342055034558881e+30
2.688499936363971887e+00 2.227764788459228100e+30
2.711519320073655148e+00 2.211055002202887462e+30
2.734735799576129445e+00 2.194781616279476400e+30
2.758151062438353840e+00 2.179336874151393634e+30
2.781766810676535862e+00 2.163772646224862758e+30
2.805584760879811679e+00 2.148088000528686444e+30
