# Age[Myr]   Lxuv[erg.s-1]
1.000000000000000000e+00 5.929068174001058753e+29
1.008562166358395462e+00 5.900148743595505685e+29
1.017197643409537555e+00 5.871799225074738563e+29
1.025907058851777798e+00 5.843219568555218174e+29
1.034691045757918815e+00 5.814409131099422245e+29
1.043550242621240409e+00 5.785595377567408212e+29
1.052485293401905109e+00 5.757884942675789353e+29
1.061496847573776714e+00 5.729950569140175654e+29
1.070585560171615880e+00 5.701789805520107822e+29
1.079752091838698913e+00 5.673401756569215039e+29
1.088997108874847131e+00 5.645800623526372269e+29
1.098321283284845240e+00 5.618458251190765942e+29
1.107725292827294261e+00 5.590894876696974131e+29
1.117209821063883890e+00 5.563108786732534782e+29
1.126775557409066097e+00 5.535421419724644922e+29
1.136423197180176148e+00 5.508666027978175624e+29
1.146153441647970173e+00 5.481694323479982701e+29
1.155966998087607278e+00 5.454504421248129679e+29
1.165864579830048431e+00 5.427094997078548110e+29
1.175846906313911866e+00 5.400594566364650912e+29
1.185914703137776138e+00 5.374204909143036766e+29
1.196068702112908611e+00 5.347602041403024400e+29
1.206309641316467118e+00 5.320784460985947231e+29
1.216638265145154829e+00 5.294252513425568528e+29
1.227055324369317413e+00 5.268438077807948086e+29
1.237561576187522494e+00 5.242414843275755262e+29
1.248157784281595406e+00 5.216181649658250828e+29
1.258844718872140556e+00 5.189736847653947313e+29
1.269623156774511319e+00 5.164489492950746413e+29
1.280493881455283312e+00 5.139129161286550864e+29
1.291457683089210828e+00 5.113564192111733304e+29
1.302515358616648466e+00 5.087793047551358834e+29
1.313667711801486782e+00 5.062553540893603131e+29
1.324915553289583547e+00 5.037741373981563326e+29
1.336259700667674633e+00 5.012729129703678072e+29
1.347700978522810900e+00 4.987514920275713581e+29
1.359240218502292707e+00 4.962296391289945552e+29
1.370878259374130881e+00 4.938011016555645184e+29
1.382615947087999952e+00 4.913530003723312900e+29
1.394454134836734971e+00 4.888851372000451406e+29
1.406393683118359439e+00 4.863973772782226295e+29
1.418435459798615295e+00 4.839928229549477630e+29
1.430580340174055110e+00 4.815970909124502718e+29
1.442829207035675187e+00 4.791820236693416544e+29
1.455182950733066471e+00 4.767474948967137642e+29
1.467642469239143654e+00 4.743505502805872170e+29
1.480208668215412304e+00 4.720062268980600853e+29
1.492882461077811751e+00 4.696430084263737662e+29
1.505664769063090658e+00 4.672607578914552002e+29
1.518556521295780781e+00 4.648720617023977587e+29
